Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"9469-1","The Lord of the Rings","The Fellowship of the Ring",2012,"Gandalf Arrives",2,83,11.99,12.99,15.99,,5702014837539,673419167024,19.1,14.1,4.6,0.13,"",0,0,0,,0,0,,,,,,,,,60.5300,37.3600,"01/06/2012","31/07/2013"
"9470-1","The Lord of the Rings","The Return of the King",2012,"Shelob Attacks",3,227,19.99,19.99,24.99,,5702014837546,673419167031,26.2,19.1,6.1,0.3,"",0,0,0,,0,0,,,,,,,,,74.5900,57.2900,"01/06/2012","31/12/2013"
"9471-1","The Lord of the Rings","The Two Towers",2012,"Uruk-Hai Army",6,257,29.99,29.99,39.99,,5702014837553,673419167048,28.2,26.2,6.4,0.46,"",0,0,0,,0,0,,,,,,,,,143.4300,110.6300,"",""
"9472-1","The Lord of the Rings","The Fellowship of the Ring",2012,"Attack On Weathertop",5,430,49.99,59.99,74.99,,5702014837560,673419167055,48,28.2,6.1,0.85,"",0,0,0,,0,0,,,,,,,,,151.1300,130.2300,"01/06/2012","31/07/2013"
"9473-1","The Lord of the Rings","The Fellowship of the Ring",2012,"The Mines of Moria",9,776,69.99,79.99,99.99,,5702014848689,673419169844,48,37.8,7.1,1.31,"",0,0,0,,0,0,,,,,,,,,239.0900,174.0700,"01/06/2012","31/12/2013"
"9474-1","The Lord of the Rings","The Two Towers",2012,"The Battle of Helm's Deep",8,1368,99.99,129.99,169.99,,5702014837577,673419167062,58.2,37.8,8.7,2.28,"",0,0,0,,0,0,,,,,,,,,416.4800,327.4900,"01/06/2012","31/12/2013"
"9476-1","The Lord of the Rings","The Fellowship of the Ring",2012,"The Orc Forge",4,366,39.99,39.99,49.99,,5702014860391,673419010917,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,125.8500,98.8000,"01/06/2012","31/07/2013"
"10237-1","The Lord of the Rings","The Two Towers",2013,"Tower of Orthanc",5,2359,169.99,199.99,249.99,199.99,5702014975194,,48.006,58.1914,9.0932,3.18,"",0,0,0,,0,0,,,,,,,,,406.6400,385.6500,"01/07/2013","31/07/2015"
"30210-1","The Lord of the Rings","The Fellowship of the Ring",2012,"Frodo with cooking corner",1,33,,3.99,,,5702014930124,673419181631,,,,,"",0,0,0,,0,0,,,,,,,,,8.6200,5.8400,"",""
"30211-1","The Lord of the Rings","The Two Towers",2012,"Uruk-Hai with ballista",1,21,,4,,,5702014930148,673419183451,,,,,"",0,0,0,,0,0,,,,,,,,,14.7600,10.7300,"",""
"79005-1","The Lord of the Rings","The Fellowship of the Ring",2013,"The Wizard Battle",2,113,11.99,12.99,15.99,,5702014975200,673419191968,14.097,12.192,6.096,0.17,"",0,0,0,,0,0,,,,,,,,,57.2500,35.3300,"01/06/2013","31/12/2014"
"79006-1","The Lord of the Rings","The Fellowship of the Ring",2013,"The Council of Elrond",4,243,29.99,29.99,34.99,,5702014975217,673419191975,35.4076,19.1008,5.8928,0.49,"",0,0,0,,0,0,,,,,,,,,89.4600,64.3400,"01/06/2013","31/12/2014"
"79007-1","The Lord of the Rings","The Return of the King",2013,"Battle at the Black Gate",5,656,59.99,59.99,74.99,,5702014975224,673419191982,48.006,28.194,6.096,1.02,"",0,0,0,,0,0,,,,,,,,,209.7700,152.2100,"01/06/2013","31/12/2014"
"79008-1","The Lord of the Rings","The Return of the King",2013,"Pirate Ship Ambush",9,756,89.99,99.99,129.99,,5702014975231,673419191999,48.006,37.7952,7.0612,1.46,"",0,0,0,,0,0,,,,,,,,,227.8700,195.6700,"01/06/2013","31/12/2014"
"5000202-1","The Lord of the Rings","The Fellowship of the Ring",2012,"Elrond",1,6,0,0,,,,673419180535,,,,,"",0,0,0,,0,0,,,,,,,,,23.4800,11.5700,"",""
"LOTRSWORD-1","The Lord of the Rings","Promotional",2012,"Sword",,31,,6,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







